[2024-10-03 17:02:53,534] INFO: generated new fontManager
[2024-10-03 17:25:11,285] INFO: generated new fontManager
[2024-10-07 14:53:55,541] DEBUG: generating initial population
[2024-10-07 14:53:55,542] DEBUG: evaluating initial population
[2024-10-07 14:56:16,056] DEBUG: generating initial population
[2024-10-07 14:56:16,057] DEBUG: evaluating initial population
[2024-10-07 17:52:53,750] DEBUG: generating initial population
[2024-10-07 17:52:53,751] DEBUG: evaluating initial population
[2024-10-08 13:57:54,845] DEBUG: generating initial population
[2024-10-08 13:57:54,846] DEBUG: evaluating initial population
[2024-10-08 13:58:57,310] DEBUG: generating initial population
[2024-10-08 13:58:57,311] DEBUG: evaluating initial population
[2024-10-08 14:00:31,621] DEBUG: generating initial population
[2024-10-08 14:00:31,622] DEBUG: evaluating initial population
[2024-10-08 14:01:49,181] DEBUG: generating initial population
[2024-10-08 14:01:49,182] DEBUG: evaluating initial population
[2024-10-08 14:04:18,824] DEBUG: generating initial population
[2024-10-08 14:04:18,825] DEBUG: evaluating initial population
[2024-10-08 14:13:01,744] DEBUG: generating initial population
[2024-10-08 14:13:01,745] DEBUG: evaluating initial population
[2024-10-08 14:14:37,998] DEBUG: generating initial population
[2024-10-08 14:14:37,999] DEBUG: evaluating initial population
[2024-10-08 14:15:33,223] DEBUG: generating initial population
[2024-10-08 14:15:33,224] DEBUG: evaluating initial population
[2024-10-08 14:17:38,221] DEBUG: generating initial population
[2024-10-08 14:17:38,222] DEBUG: evaluating initial population
[2024-10-08 14:19:32,909] DEBUG: generating initial population
[2024-10-08 14:19:32,911] DEBUG: evaluating initial population
[2024-10-08 14:28:06,812] DEBUG: population size is now 10
[2024-10-08 14:28:06,812] DEBUG: archiving initial population
[2024-10-08 14:28:06,813] DEBUG: archive size is now 0
[2024-10-08 14:28:06,813] DEBUG: population size is now 10
[2024-10-08 14:28:06,813] DEBUG: observation using stats_observer at generation 0 and evaluation 10
[2024-10-08 14:28:06,816] DEBUG: observation using file_observer at generation 0 and evaluation 10
[2024-10-08 14:28:06,818] DEBUG: termination test using generation_termination at generation 0 and evaluation 10
[2024-10-08 14:28:06,818] DEBUG: selection using tournament_selection at generation 0 and evaluation 10
[2024-10-08 14:28:06,819] DEBUG: selected 10 candidates
[2024-10-08 14:28:06,821] DEBUG: variation using uniform_crossover at generation 0 and evaluation 10
[2024-10-08 14:28:06,822] DEBUG: variation using nonuniform_bounds_mutation at generation 0 and evaluation 10
[2024-10-08 14:28:06,823] DEBUG: created 10 offspring
[2024-10-08 14:28:06,823] DEBUG: evaluation using func at generation 0 and evaluation 10
[2024-10-08 14:29:00,145] DEBUG: generating initial population
[2024-10-08 14:29:00,146] DEBUG: evaluating initial population
[2024-10-08 14:30:41,407] DEBUG: generating initial population
[2024-10-08 14:30:41,409] DEBUG: evaluating initial population
[2024-10-08 14:33:41,699] DEBUG: generating initial population
[2024-10-08 14:33:41,700] DEBUG: evaluating initial population
[2024-10-08 14:37:22,158] DEBUG: generating initial population
[2024-10-08 14:37:22,159] DEBUG: evaluating initial population
[2024-10-08 14:37:50,970] DEBUG: generating initial population
[2024-10-08 14:37:50,971] DEBUG: evaluating initial population
[2024-10-08 14:39:29,286] DEBUG: generating initial population
[2024-10-08 14:39:29,287] DEBUG: evaluating initial population
[2024-10-08 14:40:09,315] DEBUG: generating initial population
[2024-10-08 14:40:09,316] DEBUG: evaluating initial population
[2024-10-08 14:40:57,343] DEBUG: generating initial population
[2024-10-08 14:40:57,344] DEBUG: evaluating initial population
[2024-10-08 14:42:56,739] DEBUG: generating initial population
[2024-10-08 14:42:56,740] DEBUG: evaluating initial population
[2024-10-08 14:43:25,001] DEBUG: generating initial population
[2024-10-08 14:43:25,002] DEBUG: evaluating initial population
[2024-10-08 14:44:18,126] DEBUG: generating initial population
[2024-10-08 14:44:18,127] DEBUG: evaluating initial population
[2024-10-08 14:44:50,346] DEBUG: generating initial population
[2024-10-08 14:44:50,347] DEBUG: evaluating initial population
[2024-10-08 14:45:27,753] DEBUG: generating initial population
[2024-10-08 14:45:27,754] DEBUG: evaluating initial population
[2024-10-08 14:54:01,666] DEBUG: population size is now 10
[2024-10-08 14:54:01,667] DEBUG: archiving initial population
[2024-10-08 14:54:01,667] DEBUG: archive size is now 0
[2024-10-08 14:54:01,667] DEBUG: population size is now 10
[2024-10-08 14:54:01,668] DEBUG: observation using stats_observer at generation 0 and evaluation 10
[2024-10-08 14:54:01,670] DEBUG: observation using file_observer at generation 0 and evaluation 10
[2024-10-08 14:54:01,674] DEBUG: termination test using generation_termination at generation 0 and evaluation 10
[2024-10-08 14:54:01,674] DEBUG: selection using tournament_selection at generation 0 and evaluation 10
[2024-10-08 14:54:01,675] DEBUG: selected 10 candidates
[2024-10-08 14:54:01,680] DEBUG: variation using uniform_crossover at generation 0 and evaluation 10
[2024-10-08 14:54:01,681] DEBUG: variation using nonuniform_bounds_mutation at generation 0 and evaluation 10
[2024-10-08 14:54:01,683] DEBUG: created 10 offspring
[2024-10-08 14:54:01,683] DEBUG: evaluation using func at generation 0 and evaluation 10
[2024-10-08 17:49:43,428] DEBUG: generating initial population
[2024-10-08 17:49:43,428] DEBUG: evaluating initial population
[2024-10-08 17:50:04,762] DEBUG: generating initial population
[2024-10-08 17:50:04,763] DEBUG: evaluating initial population
[2024-10-08 17:51:41,058] DEBUG: generating initial population
[2024-10-08 17:51:41,059] DEBUG: evaluating initial population
[2024-10-08 17:52:36,317] DEBUG: generating initial population
[2024-10-08 17:52:36,318] DEBUG: evaluating initial population
[2024-10-08 17:54:39,973] DEBUG: generating initial population
[2024-10-08 17:54:39,975] DEBUG: evaluating initial population
[2024-10-08 17:55:14,747] DEBUG: population size is now 10
[2024-10-08 17:55:14,747] DEBUG: archiving initial population
[2024-10-08 17:55:14,747] DEBUG: archive size is now 0
[2024-10-08 17:55:14,748] DEBUG: population size is now 10
[2024-10-08 17:55:14,748] DEBUG: observation using stats_observer at generation 0 and evaluation 10
[2024-10-08 17:55:14,749] DEBUG: observation using file_observer at generation 0 and evaluation 10
[2024-10-08 17:55:14,750] DEBUG: termination test using generation_termination at generation 0 and evaluation 10
[2024-10-08 17:55:14,750] DEBUG: selection using tournament_selection at generation 0 and evaluation 10
[2024-10-08 17:55:14,751] DEBUG: selected 10 candidates
[2024-10-08 17:55:14,753] DEBUG: variation using uniform_crossover at generation 0 and evaluation 10
[2024-10-08 17:55:14,753] DEBUG: variation using nonuniform_bounds_mutation at generation 0 and evaluation 10
[2024-10-08 17:55:14,754] DEBUG: created 10 offspring
[2024-10-08 17:55:14,754] DEBUG: evaluation using func at generation 0 and evaluation 10
